Codes,Class_Names,Crop (1) / non-crop (0),ESRI_Red,ESRI_Green,ESRI_Blue
221,Strawberries,1,255,102,102
222,Squash,1,255,102,102
223,Apricots,1,255,145,171
224,Vetch,1,0,175,77
225,Dbl Crop WinWht/Corn,1,255,212,0
226,Dbl Crop Oats/Corn,1,255,212,0
227,Lettuce,1,255,102,102
228,Dbl Crop Triticale/Corn,1,255,212,0
229,Pumpkins,1,255,102,102
230,Dbl Crop Lettuce/Durum Wht,1,138,100,83
231,Dbl Crop Lettuce/Cantaloupe,1,255,102,102
232,Dbl Crop Lettuce/Cotton,1,255,38,38
233,Dbl Crop Lettuce/Barley,1,226,0,127
234,Dbl Crop Durum Wht/Sorghum,1,255,158,15
235,Dbl Crop Barley/Sorghum,1,255,158,15
236,Dbl Crop WinWht/Sorghum,1,168,112,0
237,Dbl Crop Barley/Corn,1,255,212,0
238,Dbl Crop WinWht/Cotton,1,168,112,0
239,Dbl Crop Soybeans/Cotton,1,38,115,0
240,Dbl Crop Soybeans/Oats,1,38,115,0
241,Dbl Crop Corn/Soybeans,1,255,212,0
242,Blueberries,1,0,0,153
243,Cabbage,1,255,102,102
244,Cauliflower,1,255,102,102
245,Celery,1,255,102,102
246,Radishes,1,255,102,102
247,Turnips,1,255,102,102
248,Eggplants,1,255,102,102
249,Gourds,1,255,102,102
250,Cranberries,1,255,102,102
251, ,0,255,212,0
252, ,0,38,115,0
253, ,0,168,112,0
254,Dbl Crop Barley/Soybeans,1,38,115,0
255, ,0,0,0,0
